PK15,PK30,PK33,PK14,PK29,PK32,PK16,PK31,PK34,PK2,PK1,PK3,PK12,PK18,PK21,PK24,PK27,PK5,PK8,PK41,PK42,PK11,PK17,PK20,PK23,PK26,PK4,PK7,PK37,PK38,PK10,PK13,PK19,PK22,PK25,PK28,PK6,PK9,PK39,PK40,PK35,PK36,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,0,48.480000000000004,13.79,0,0,0,0,0,0,0,0,0,4.46,0,44.86,Archaea,unk_k,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,unk_f,unk_g
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,unk_k,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,unk_k,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,unk_k,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,unk_g
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,5.41,0,Archaea,unk_k,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,
0,0,0,0,85.28,0,0,0,0,0,0,0,0,0,0,0,0,5.18,0,0,27.59,0,7.720000000000001,28.69,4.86,4.87,0,0,0,0,0,0,0,0,0,0,0,0,17.85,0,0,0,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,unk_g
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,7.16,Archaea,unk_k,Nitrososphaerota,unk_c,unk_o,unk_f,
0,0,0,0,0,0,0,0,0,0,2.76,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,7.71,2.76,0,0,9.54,0,0,0,0,0,0,0,0,0,0,6.69,0,Archaea,unk_k,Nitrososphaerota,unk_c,unk_o,unk_f,unk_g
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,15.06,0,48.06,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,unk_k,Thermoproteota,unk_c,unk_o,unk_f,
0,0,0,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,3.7,0,0,86.35,64.58,0,8,4.25,0,0,0,0,0,0,0,0,0,0,0,7.449999999999999,Archaea,unk_k,Thermoproteota,unk_c,unk_o,unk_f,unk_g
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,unk_k,unk_p,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.23,0,0,19.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,unk_k,unk_p,unk_c,unk_o,,
0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,3.12,0,0,11.48,0,0,0,0,0,131.56,13.76,49.52,54.44,0,46.39,38.21,0,0,0,0,0,0,0,0,0,0,96.25999999999999,73.05,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,
